ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
118075,Lyubov Andreyevna Talalayeva,F,23,180,75,Rowing,Rowing Women's Coxed Eights,Silver
118081,Viorel Talapan,M,20,198,97,Rowing,Rowing Men's Coxed Fours,Gold
118106,Abutaleb Talebi Gorgori,M,23,160,63,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
118110,Ivelina Taleva,F,19,175,52,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
118116,Kitione Taliga,M,23,186,87,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
118125,Georg Bertil Tallberg,M,19,182,65,Sailing,Sailing Mixed Two Person Dinghy,Bronze
118133,Jared Tallent,M,23,178,58,Athletics,Athletics Men's 20 kilometres Walk,Bronze
118143,Kurt Stefan Roger Tallroth,M,23,174,74,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
118144,Jaakko Tapio Tallus,M,20,165,57,Nordic Combined,Nordic Combined Men's Team,Gold
118149,Talmo Curto de Oliveira,M,22,194,87,Volleyball,Volleyball Men's Volleyball,Gold
118158,Jaan Talts,M,24,174,100,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
118183,Lauren Tamayo (Franges-),F,28,175,65,Cycling,Cycling Women's Team Pursuit,Silver
118198,Brett Paul Tamburrino,M,22,178,88,Baseball,Baseball Men's Baseball,Silver
118202,Lachlan Tame,M,27,176,80,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
118215,Jri Tamm,M,23,191,120,Athletics,Athletics Men's Hammer Throw,Bronze
118221,Jukka Viljo Tapani Tammi,M,25,180,79.5,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
118227,Taavi Nikolai Tamminen,M,31,174,70.5,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
118233,Hiroko Tamoto,F,26,150,50,Softball,Softball Women's Softball,Silver
118239,Al-Tahar Al-Tamsamani,M,20,175,60,Boxing,Boxing Men's Featherweight,Bronze
118242,Ral Tamudo Montero,M,22,180,70,Football,Football Men's Football,Silver
118243,Riardas Tamulis,M,26,177,69,Boxing,Boxing Men's Welterweight,Silver
118250,Ryoko Tamura-Tani,F,16,146,48,Judo,Judo Women's Extra-Lightweight,Silver
118268,Tan Jiaxin,F,19,148,36,Gymnastics,Gymnastics Women's Team All-Around,Bronze
118273,Tan Liangde,M,19,170,65,Diving,Diving Men's Springboard,Silver
118296,Tan Wee Kiong,M,27,177,77,Badminton,Badminton Men's Doubles,Silver
118297,Tan Xue,F,20,176,77,Fencing,"Fencing Women's Sabre, Individual",Silver
